Row Labels,Sum of Valuation
3/10/2015,322630
3/11/2015,69418.38
3/12/2015,122407
3/13/2015,25016.25
3/16/2015,203588
3/17/2015,72430
3/18/2015,1030802.79
3/19/2015,62510
3/20/2015,22310
3/23/2015,66100
3/24/2015,441954.59
3/25/2015,176470
3/26/2015,308104.97
3/27/2015,87410
3/30/2015,1191461.35
3/31/2015,388567.01
4/1/2015,284199
4/2/2015,202404
4/3/2015,88590
4/4/2015,0
4/6/2015,86735
4/7/2015,454935
4/8/2015,1203300
4/9/2015,24152.52
4/10/2015,506314
4/13/2015,196772
4/14/2015,140531
4/15/2015,71847
4/16/2015,561211
4/17/2015,156450
4/20/2015,1141290
4/21/2015,322366.75
4/22/2015,3519220
4/23/2015,178990
4/24/2015,251877
4/27/2015,164700
4/28/2015,2429565
4/29/2015,338742
4/30/2015,1076478.05
5/1/2015,544890
5/4/2015,155650
5/5/2015,124367
5/6/2015,205289
5/7/2015,321418
5/8/2015,166650
5/11/2015,35150
5/12/2015,1841103.5
5/13/2015,292150
5/14/2015,653477.71
5/15/2015,666322
5/18/2015,280674
5/19/2015,185250
5/20/2015,152556
5/21/2015,1495524
5/22/2015,880730
5/26/2015,151703.88
5/27/2015,203640
5/28/2015,680681
5/29/2015,118000
6/1/2015,1012125
6/2/2015,1551700
6/3/2015,1066550
6/4/2015,74955.75
6/5/2015,374850
6/8/2015,285925
6/9/2015,3630882.32
6/10/2015,268545
6/11/2015,4667200
6/12/2015,3157803.01
6/15/2015,528850.04
6/16/2015,570736
6/17/2015,415421.88
6/18/2015,469447
6/19/2015,166603
6/22/2015,131614.09
6/23/2015,2568375.76
6/24/2015,210630
6/25/2015,477524
6/26/2015,87250
6/29/2015,235900
6/30/2015,210545
7/1/2015,303347
7/2/2015,809700
7/6/2015,713422
7/7/2015,459099
7/8/2015,1586692
7/9/2015,3115671
7/10/2015,177999.9
7/13/2015,224711
7/14/2015,308222
7/15/2015,330445.48
7/16/2015,11250
7/17/2015,9620836
7/20/2015,3464300
7/21/2015,107205
7/22/2015,496146.23
7/23/2015,245695
7/24/2015,2911747
7/27/2015,831574
7/28/2015,135714
7/29/2015,2710799
7/30/2015,354137.45
7/31/2015,40250
8/2/2015,0
8/3/2015,33090
8/4/2015,207968
8/5/2015,341003
8/6/2015,725438
8/7/2015,192718.6
8/10/2015,606052
8/11/2015,156531
8/12/2015,84690
8/13/2015,741400
8/14/2015,2153092
8/15/2015,0
8/17/2015,125525
8/18/2015,457436
8/19/2015,455130
8/20/2015,150300
8/21/2015,23468870
8/24/2015,578040
8/25/2015,38139.05
8/26/2015,1019765
8/27/2015,382722
8/28/2015,336498
8/31/2015,417655
9/1/2015,349960
9/2/2015,597209
9/3/2015,155949
9/4/2015,614050
9/8/2015,736334
9/9/2015,154764
9/10/2015,372100
9/11/2015,171591
9/14/2015,1424784
