TAX_ID,Lat,Lon,NonResAssets_CombinedCode,CODEAB_CombinedCode,Entity2,Entity_Category,ENTITY,Status
31150005200000060420000000,43.03476188,-76.12274817,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000060020000000,43.03642961,-76.12274155,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000060410000000,43.03463027,-76.12271604,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000080490000000,43.03428868,-76.1227069,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000080480000000,43.03418435,-76.12270574,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000110310000000,43.03771537,-76.12268851,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000080460000000,43.03399846,-76.12267985,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000080450000000,43.03388408,-76.12266512,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000080440000000,43.03377687,-76.12266008,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000090190000000,43.03274219,-76.12265613,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000090170000000,43.03251491,-76.12264224,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000090180000000,43.03263209,-76.12264137,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000110050000000,43.03824678,-76.12256835,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005500000180060000000,43.02767631,-76.12243895,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000190200000000,43.03035412,-76.12243138,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150002100000070230000000,43.06549763,-76.12242821,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000040250000000,43.04094751,-76.12212677,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000100060000000,43.03740032,-76.12205615,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000060070000000,43.0364122,-76.12196632,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000110270000000,43.03771556,-76.12195266,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000020240000000,43.03994994,-76.12193617,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000020250000000,43.03986163,-76.12188975,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000020260000000,43.03975782,-76.1218402,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000100230000000,43.03686385,-76.12170515,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000020290000000,43.03945116,-76.12169313,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000100220000000,43.03687592,-76.12156521,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000110250000000,43.03774233,-76.12154365,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000020330000000,43.03905029,-76.12151267,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000100110000000,43.03741451,-76.1212707,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000100200000000,43.0368857,-76.12125315,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000060110000000,43.03651899,-76.12116094,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000110160000000,43.03830228,-76.1210661,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000100120000000,43.03742629,-76.12105976,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000060120000000,43.0365026,-76.12099547,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000100130000000,43.0374431,-76.12092408,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000060230000000,43.04172105,-76.12083354,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000050080000000,43.04089136,-76.1208315,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
