TAX_ID,Problems,lat,lon
31150011300000020180000000,Potential Lead Paint,-76.19756858,43.06005845
31150011200000020010000000,Potential Lead Paint Dilapidated Vacant,-76.19756495,43.05663328
31150009000000080020010000,Potential Lead Paint,-76.19756418,43.02282662
31150011300000020170000000,Potential Lead Paint,-76.19756378,43.05991421
31150011300000020070000000,Potential Lead Paint,-76.19755372,43.06065881
31150011200000010240000000,Potential Lead Paint,-76.19755217,43.05515126
31150011200000170150000000,Potential Lead Paint,-76.19753914,43.05311619
31150011200000140070000000,Potential Lead Paint,-76.19753868,43.05461976
31150011300000060080000000,Potential Lead Paint,-76.1975346,43.05748353
31150011300000010190000000,Potential Lead Paint,-76.19753324,43.06166576
31150011200000170090000000,Potential Lead Paint,-76.19752237,43.05357041
31150011200000200010000000,Potential Lead Paint Dilapidated Vacant,-76.19751239,43.05260124
31150011300000020080000000,Potential Lead Paint,-76.19749875,43.06058081
31150011200000140060000000,Potential Lead Paint,-76.19748481,43.05453578
31150011300000070040000000,Potential Lead Paint Dilapidated Vacant,-76.19748445,43.05855785
31150011300000070110000000,Potential Lead Paint,-76.1974825,43.05794734
31150011300000070200000000,Potential Lead Paint,-76.19747912,43.05821142
31150011200000020470000000,Potential Lead Paint,-76.19747845,43.05649465
31150009000000090120000000,Potential Lead Paint,-76.19746208,43.02490353
31150011200000170100000000,Potential Lead Paint,-76.19746052,43.05348266
31150011300000060200000000,Potential Lead Paint,-76.19745896,43.05722682
31150011200000020020000000,Potential Lead Paint,-76.19745525,43.05667483
31150009000000040070000000,Potential Lead Paint,-76.19745028,43.02553057
31150011300000020090000000,Potential Lead Paint,-76.19744377,43.06050281
31150009000000040170000000,Potential Lead Paint,-76.19744127,43.02648995
31150009000000090140000000,Potential Lead Paint,-76.1974328,43.02447787
31150011300000060090000000,Potential Lead Paint,-76.1974238,43.05752549
31150009000000090150000000,Potential Lead Paint,-76.19741242,43.02418823
31150011200000020460000000,Potential Lead Paint,-76.19740113,43.05638497
31150011200000170110000000,Potential Lead Paint,-76.19739867,43.05339491
31150011200000140050010000,Potential Lead Paint,-76.19738176,43.05445605
31150011300000020160000000,Potential Lead Paint,-76.19738011,43.05998228
31150011200000200020000000,Potential Lead Paint,-76.19738001,43.05265143
31150009000000090160000000,Potential Lead Paint,-76.19737954,43.02389764
31150009000000090200000000,Potential Lead Paint,-76.19735507,43.02350556
31150011300000070100000000,Potential Lead Paint,-76.19734952,43.05799771
31150011200000020030000000,Potential Lead Paint,-76.19734609,43.05671618
31150011300000070050000000,Potential Lead Paint,-76.197346,43.05850068
31150011300000020110000000,Potential Lead Paint Dilapidated Vacant,-76.19733381,43.06034682
31150009000000040030000000,Potential Lead Paint,-76.19731484,43.02607237
31150011300000060100000000,Potential Lead Paint Dilapidated Vacant,-76.19731355,43.05756725
31150011300000070060000000,Potential Lead Paint,-76.19731067,43.05841419
31150011300000040210010000,Potential Lead Paint,-76.19729832,43.05954377
31150011200000140010000000,Potential Lead Paint,-76.19729537,43.05493242
31150011300000060190000000,Potential Lead Paint,-76.19729275,43.05728978
31150011200000180180000000,Potential Lead Paint,-76.19728337,43.0542471
31150011300000020150000000,Potential Lead Paint,-76.19727884,43.06007361
31150009000000040040000000,Potential Lead Paint,-76.19727775,43.02579034
31150011200000170130000000,Potential Lead Paint,-76.19727326,43.05321698
31150011200000200030000000,Potential Lead Paint,-76.19724707,43.05270183
31150011200000020440000000,Potential Lead Paint,-76.19723963,43.05615585
31150011200000140020000000,Potential Lead Paint,-76.1972396,43.05479218
31150011300000010120000000,Potential Lead Paint,-76.19723013,43.06097353
31150011300000020140010000,Potential Lead Paint,-76.19722457,43.06019183
31150011200000180170000000,Potential Lead Paint,-76.19721379,43.05414838
31150011200000020040000000,Potential Lead Paint Dilapidated,-76.19720527,43.05672917
31150009000000080040000000,Potential Lead Paint,-76.19716233,43.02289843
31150011200000140030000000,Potential Lead Paint Vacant,-76.19715887,43.05467844
31150011200000020430000000,Potential Lead Paint,-76.19715802,43.05604007
31150011300000040200000000,Potential Lead Paint,-76.19715176,43.05946743
31150011300000010110000000,Potential Lead Paint Vacant,-76.19715088,43.06090491
31150011300000060110010000,Potential Lead Paint,-76.19714733,43.05763021
31150011200000180160000000,Potential Lead Paint,-76.19714335,43.05404845
31150011200000170120000000,Potential Lead Paint,-76.19714031,43.05326738
31150011300000060180000000,Potential Lead Paint,-76.19712653,43.05735274
31150011300000040210020000,Potential Lead Paint,-76.19711446,43.0596119
31150011200000200040000000,Potential Lead Paint,-76.19711413,43.05275223
31150011200000020390000000,Potential Lead Paint,-76.19709791,43.055604
31150011300000040190000000,Potential Lead Paint,-76.19708893,43.05936915
31150011300000070090000000,Vacant,-76.19708715,43.05809709
31150011200000140040010000,Potential Lead Paint,-76.1970821,43.05459311
31150011200000180150000000,Potential Lead Paint,-76.19707291,43.05394852
31150011200000020050000000,Potential Lead Paint,-76.19707171,43.05678304
31150011200000020420000000,Potential Lead Paint,-76.19706213,43.0559476
31150011300000020130000000,Potential Lead Paint,-76.19706065,43.06015446
31150009000000090130000000,Potential Lead Paint,-76.19705577,43.02480926
31150009000000090190000000,Potential Lead Paint,-76.19704424,43.02355846
31150009000000040050000000,Potential Lead Paint,-76.19704388,43.02562521
31150011200000020060000000,Vacant,-76.19704342,43.05660847
31150011200000020380000000,Potential Lead Paint,-76.19701201,43.05548213
31150011200000020410000000,Potential Lead Paint,-76.19700479,43.05586625
31150011200000180140000000,Potential Lead Paint,-76.19700247,43.05384858
31150009000000040060000000,Potential Lead Paint,-76.1970002,43.0253594
31150011200000020070000000,Potential Lead Paint,-76.19699188,43.05653535
31150011200000200050000000,Potential Lead Paint Vacant,-76.19698119,43.05280262
31150011200000180010000000,Potential Lead Paint,-76.19696261,43.05438955
31150011300000060170000000,Potential Lead Paint,-76.19696032,43.0574157
31150011200000180130000000,Potential Lead Paint,-76.19695753,43.05372508
31150011300000010080000000,Potential Lead Paint Dilapidated Vacant,-76.19695418,43.06068385
31150011200000020400000000,Potential Lead Paint,-76.19694752,43.055785
31150011200000020080000000,Potential Lead Paint,-76.19694033,43.05646223
31150011200000180020000000,Potential Lead Paint,-76.19690033,43.05430119
31150011300000010070000000,Potential Lead Paint,-76.19689537,43.06060769
31150011200000020090000000,Potential Lead Paint,-76.19688879,43.0563891
31150011300000060130000000,Potential Lead Paint,-76.19687977,43.05780289
31150011200000020370010000,Potential Lead Paint,-76.19687744,43.05560567
31150011200000180120000000,Potential Lead Paint,-76.19686304,43.05359102
31150011200000200070000000,Potential Lead Paint,-76.1968544,43.05262274
31150011200000020170000000,Potential Lead Paint,-76.19685397,43.05686552
31150011300000040010000000,Potential Lead Paint,-76.19685249,43.05914599
31150011200000210040000000,Potential Lead Paint,-76.19684832,43.05106258
31150011200000200060000000,Potential Lead Paint,-76.19684825,43.05285302
31150011300000010060000000,Potential Lead Paint,-76.19684039,43.06052969
31150011200000020100000000,Potential Lead Paint,-76.19683725,43.05631598
31150011200000180030000000,Potential Lead Paint,-76.19682903,43.05420004
31150009000000080050000000,Potential Lead Paint,-76.19681835,43.02293084
31150011300000060140000000,Potential Lead Paint,-76.1968004,43.05769028
31150011200000200080000000,Potential Lead Paint,-76.1967898,43.0525311
31150011200000020110000000,Potential Lead Paint,-76.1967857,43.05624286
31150011300000010050000000,Potential Lead Paint,-76.19678541,43.06045168
31150011300000010040000000,Potential Lead Paint,-76.19678485,43.06025668
31150011200000180110000000,Potential Lead Paint,-76.1967791,43.05338231
31150011200000180040000000,Potential Lead Paint,-76.19675687,43.05409767
