objectid,ntm_stop_i,ntm_feed_i,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,Count
84342,84342,66,5427,HarStoNE,Harrison St & S.Townsend St,HARRISON ST & S TOWNSEND ST,43.04431400000,-76.14499000000,,1
83706,83706,66,11279,ParObeSW,Park St & Oberst St,,43.06325700000,-76.14497400000,,1
81183,81183,66,7865,ButAlvSE,Butternut St & Alvord St,BUTTERNUT ST & S ALVORD ST,43.06156500000,-76.14495200000,,1
83717,83717,66,10909,BtnAlvSE,Butternut St & S Alvord St,,43.06158300000,-76.14495200000,,1
84001,84001,66,1338,SsaElkSE,S.Salina St & Elk St,S SALINA ST & ELK ST,43.02482500000,-76.14492000000,,1
85691,85691,66,7004,ButSavNW,Butternut St & S.Alvord St,,43.06180700000,-76.14485300000,,1
80378,80378,66,6279,CotLoaSW,Court St & Loma Ave,,43.07919300000,-76.14480200000,,1
80557,80557,66,11204,ParObeNE,Park St & Oberst St,,43.06322100000,-76.14477700000,,1
80564,80564,66,442,JamNmcSW,James St & N.McBride St,,43.05421500000,-76.14465400000,,1
81271,81271,66,1341,SsaMckWX,S.Salina St & McKinley Ave,S SALINA ST & MCKINLEY AVE,43.02397400000,-76.14456400000,,1
81406,81406,66,16345,EcoBPlSW,E Colvin St & Beard Pl,,43.02574600000,-76.14454900000,,1
80579,80579,66,10915,GraCraSW,Grant Blvd & Craig St,,43.07298000000,-76.14451500000,,1
80894,80894,66,1342,SsaMckSE,S.Salina St & McKinley Ave,S SALINA ST & MCKINLEY AVE,43.02392900000,-76.14450200000,,1
81606,81606,66,431,JamNmcNE,James St & N.McBride St,,43.05437600000,-76.14446900000,,1
84253,84253,66,15466,ButSchSE,Butternut St & Schneider St,,43.06228100000,-76.14439500000,,1
83736,83736,66,6281,CotLoaNE,Court St & Loma Ave,,43.07947900000,-76.14439500000,,1
80153,80153,66,10530,ButSchNW,Butternut St & Schneider St,,43.06247800000,-76.14435800000,,1
