TAX_ID,Lat,Lon,CensusTract,CensusTract,CensusTract,NonResAssets_CombinedCode,CODEAB_CombinedCode,Entity2,Entity_Category,ENTITY,Expr1,Latitude,Longitude,Latit,Longi
31150000200000300050000000,43.07042779,-76.16562107,,,,83704,,Cell Facility On Bldg,Infrastructure,CELL FACILITY ON BLDG,1,43,-76,43.07,-76.17
31150000300000010120000000,43.07560435,-76.1611405,2,2,2,42306,,Deli,Food Commercial,DELI,1,43,-76,43.08,-76.16
31150000300000010120000000,43.07563884,-76.16125642,2,2,2,48200,,Apts In Multi Use Bldg,Mixed Use,APTS IN MULTI USE BLDG,1,43,-76,43.08,-76.16
31150000300000010120000000,43.07560435,-76.1611405,2,2,2,42306,,Deli,Food Commercial,DELI,1,43,-76,43.08,-76.16
31150000300000010120000000,43.07563884,-76.16125642,2,2,2,48200,,Apts In Multi Use Bldg,Mixed Use,APTS IN MULTI USE BLDG,1,43,-76,43.08,-76.16
31150000300000010140000000,43.07532242,-76.16138067,2,2,2,42501,,Bar (X-Rated),Alcohol Commercial,BAR (X-RATED),1,43,-76,43.08,-76.16
31150000300000010150000000,43.07520297,-76.16145994,2,2,2,42301,,Pizza,Food Commercial,PIZZA,1,43,-76,43.08,-76.16
31150000300000010160000000,43.075127,-76.16150859,2,2,2,48401,,Vacant Bldg,Vacant Building,VACANT BLDG,1,43,-76,43.08,-76.16
31150000300000010170010000,43.07498799,-76.16159612,2,2,2,48200,,Apts In Multi Use Bldg,Mixed Use,APTS IN MULTI USE BLDG,1,43,-76,43.07,-76.16
31150000300000010170010000,43.07493851,-76.16161336,2,2,2,48400,,Small Single-Use Bldg,Mixed Use,SMALL SINGLE-USE BLDG,1,43,-76,43.07,-76.16
31150000300000010170010000,43.07498799,-76.16159612,2,2,2,48200,,Apts In Multi Use Bldg,Mixed Use,APTS IN MULTI USE BLDG,1,43,-76,43.07,-76.16
31150000300000010170010000,43.07493851,-76.16161336,2,2,2,48400,,Small Single-Use Bldg,Mixed Use,SMALL SINGLE-USE BLDG,1,43,-76,43.07,-76.16
31150000300000010190000000,43.0748706,-76.16167084,2,2,2,48401,,Vacant Bldg,Vacant Building,VACANT BLDG,1,43,-76,43.07,-76.16
31150000300000010210000000,43.07471319,-76.16180708,2,2,2,48401,,Vacant Bldg,Vacant Building,VACANT BLDG,1,43,-76,43.07,-76.16
31150000300000010210000000,43.07473693,-76.1619463,2,2,2,48200,,Apts In Multi Use Bldg,Mixed Use,APTS IN MULTI USE BLDG,1,43,-76,43.07,-76.16
31150000300000010210000000,43.07471319,-76.16180708,2,2,2,48401,,Vacant Bldg,Vacant Building,VACANT BLDG,1,43,-76,43.07,-76.16
31150000300000010210000000,43.07473693,-76.1619463,2,2,2,48200,,Apts In Multi Use Bldg,Mixed Use,APTS IN MULTI USE BLDG,1,43,-76,43.07,-76.16
31150000300000020120000000,43.07676508,-76.16048101,2,2,2,43103,,Trucks Only,Auto Commercial,TRUCKS ONLY,1,43,-76,43.08,-76.16
31150000300000020190000000,43.07604243,-76.16079292,2,2,2,48401,,Vacant Bldg,Vacant Building,VACANT BLDG,1,43,-76,43.08,-76.16
31150000300000020190000000,43.07608833,-76.16086558,2,2,2,48200,,Apts In Multi Use Bldg,Mixed Use,APTS IN MULTI USE BLDG,1,43,-76,43.08,-76.16
31150000300000020190000000,43.07604243,-76.16079292,2,2,2,48401,,Vacant Bldg,Vacant Building,VACANT BLDG,1,43,-76,43.08,-76.16
31150000300000020190000000,43.07608833,-76.16086558,2,2,2,48200,,Apts In Multi Use Bldg,Mixed Use,APTS IN MULTI USE BLDG,1,43,-76,43.08,-76.16
31150000300000020200000000,43.07598535,-76.16098237,2,2,2,43301,,Body Shop,Auto Commercial,BODY SHOP,1,43,-76,43.08,-76.16
31150000300000030100000000,43.07798264,-76.15938137,2,2,2,48200,,Apts In Multi Use Bldg,Mixed Use,APTS IN MULTI USE BLDG,1,43,-76,43.08,-76.16
31150000300000030100000000,43.07802341,-76.15934246,2,2,2,48401,,Vacant Bldg,Vacant Building,VACANT BLDG,1,43,-76,43.08,-76.16
31150000300000030100000000,43.07798264,-76.15938137,2,2,2,48200,,Apts In Multi Use Bldg,Mixed Use,APTS IN MULTI USE BLDG,1,43,-76,43.08,-76.16
31150000300000030100000000,43.07802341,-76.15934246,2,2,2,48401,,Vacant Bldg,Vacant Building,VACANT BLDG,1,43,-76,43.08,-76.16
31150000300000030170000000,43.07712992,-76.15999985,2,2,2,42500,,Bar,Alcohol Commercial,BAR,1,43,-76,43.08,-76.16
31150000300000030170000000,43.0771875,-76.1600866,2,2,2,48200,,Apts In Multi Use Bldg,Mixed Use,APTS IN MULTI USE BLDG,1,43,-76,43.08,-76.16
31150000300000030170000000,43.07712992,-76.15999985,2,2,2,42500,,Bar,Alcohol Commercial,BAR,1,43,-76,43.08,-76.16
31150000300000030170000000,43.0771875,-76.1600866,2,2,2,48200,,Apts In Multi Use Bldg,Mixed Use,APTS IN MULTI USE BLDG,1,43,-76,43.08,-76.16
31150000300000030180000000,43.07733416,-76.16055522,2,2,2,43301,,Body Shop,Auto Commercial,BODY SHOP,1,43,-76,43.08,-76.16
31150000300000040020000000,43.07880473,-76.15875494,2,2,2,42200,,Diner,Food Commercial,DINER,1,43,-76,43.08,-76.16
31150000300000040030000000,43.0785682,-76.15913506,2,2,2,43102,,Used Car Only,Auto Commercial,USED CAR ONLY,1,43,-76,43.08,-76.16
31150000300000090040000000,43.07906196,-76.15816004,2,2,2,44900,,Warehouse,Storage Commercial,WAREHOUSE,1,43,-76,43.08,-76.16
31150000300000100020000000,43.07755862,-76.15917823,2,2,2,48200,,Apts In Multi Use Bldg,Mixed Use,APTS IN MULTI USE BLDG,1,43,-76,43.08,-76.16
31150000300000100020000000,43.07760782,-76.15929166,2,2,2,48401,,Vacant Bldg,Vacant Building,VACANT BLDG,1,43,-76,43.08,-76.16
31150000300000100020000000,43.07755862,-76.15917823,2,2,2,48200,,Apts In Multi Use Bldg,Mixed Use,APTS IN MULTI USE BLDG,1,43,-76,43.08,-76.16
31150000300000100020000000,43.07760782,-76.15929166,2,2,2,48401,,Vacant Bldg,Vacant Building,VACANT BLDG,1,43,-76,43.08,-76.16
31150000300000110020000000,43.07729287,-76.15936869,2,2,2,43301,,Body Shop,Auto Commercial,BODY SHOP,1,43,-76,43.08,-76.16
31150000300000120050000000,43.07662342,-76.15987509,2,2,2,43102,,Used Car Only,Auto Commercial,USED CAR ONLY,1,43,-76,43.08,-76.16
31150000300000120220000000,43.07592019,-76.16040665,2,2,2,45901,,Convenience Store,Convenience Commercial,CONVENIENCE STORE,1,43,-76,43.08,-76.16
31150000300000120220000000,43.07580397,-76.16009887,2,2,2,42308,,Chinese,Food Commercial,CHINESE,1,43,-76,43.08,-76.16
31150000300000130040020000,43.07515812,-76.16108054,2,2,2,44900,,Warehouse,Storage Commercial,WAREHOUSE,1,43,-76,43.08,-76.16
