objectid,ntm_stop_id,ntm_feed_id,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
80701,80701,66,17451,HamMaiWX,Hamilton St & Main St,,43.060207,-76.475435,
85423,85423,66,15992,CitBirSE,City Line Rd & Birch Ln,,43.454402,-76.475369,
80703,80703,66,17457,HamMaiSE,Hamilton Rd & Main St,,43.060019,-76.475286,
80128,80128,66,16689,MaiDelNW,Main St & Delhi St,,43.067271,-76.475112,
80698,80698,66,17452,HamBruNW,Hamilton St & Brutus Rd,,43.059026,-76.475085,
81294,81294,66,16486,S38MatNW,State Hwy 38 & Mather Rd,,42.756514,-76.475023,
79846,79846,66,16005,BirCitNE,Birch Ln & City Line Rd,,43.454833,-76.475011,
80702,80702,66,17456,HamBruEX,Hamilton Rd & Brutus Rd,,43.05882,-76.474961,
83904,83904,66,16634,MaiDelEX,Main St & Delhi St,,43.067191,-76.474952,
82500,82500,66,16505,S38MatSE,State Hwy 38 & Mather Rd,,42.756442,-76.474912,
79840,79840,66,16002,AlbCitSW,E Albany St & City Line Rd,,43.456383,-76.474892,
83905,83905,66,16189,R57DutWX,Co Route 57 & Dutch Ridge Rd,,43.41256,-76.474647,
79776,79776,66,16233,R57DutSE,Rte 57 & Dutch Ridge Rd,,43.412291,-76.47446,
83907,83907,66,16633,CliCltSW,Clinton St & Clinton Ter,,43.065401,-76.47418,
80958,80958,66,16875,OswLwsLM,Lowe's Home Improvement,,43.464366,-76.474173,
83726,83726,66,7919,MaiCliSW,Main St & Clinton St,CLINTON ST & ERIE DR,43.065501,-76.473601,
85966,85966,66,7924,MaiCliNE,Clinton St & Main St,CLINTON ST & MECHANIC ST,43.065367,-76.473193,
85706,85706,66,15520,BwdAptLM,Brandonwood Apartments Oswego,,43.454541,-76.472812,
82240,82240,66,18008,TesPlaNX,Tessy Plastics,STATE HWY 5 & GRANT AVENUE RD,43.029783,-76.471904,
81328,81328,66,7984,TesPlaLM,Tessy Plastics,,43.029372,-76.471718,
80385,80385,66,9739,104CitSW,Route 104 & City Line Rd,,43.462847,-76.471698,
83130,83130,66,16730,GenBroSW,E Genesee St & Broadway Rd,,42.942622,-76.47151,
79845,79845,66,16004,BeeBirSW,Beech Dr & Birch Ln,,43.456191,-76.471428,
84317,84317,66,15871,104CtyNX,Rte 104 & City Line Rd,,43.46291,-76.4714,
83627,83627,66,16775,EgeBroNX,E Genesee St & Broadway Rd,,42.942694,-76.47135,
80801,80801,66,16190,R57R45NW,Co. Rt. 57 & Co. Rt. 45,,43.400841,-76.470428,
85792,85792,66,17497,R45R57NE,Co. Rt. 57 & Co. Rt. 45,,43.400833,-76.470205,
80699,80699,66,17453,HamBarNW,Hamilton Rd & Barker Rd,,43.041058,-76.469819,
80705,80705,66,17455,HamBarEX,Hamilton Rd & Barker Rd,,43.040763,-76.469596,
82832,82832,66,9740,104KocSX,Route 104 & Kocher Rd,,43.46295,-76.469078,
80592,80592,66,15870,104R63NE,Rte 104 & Co Rte 63,,43.462995,-76.468905,
82143,82143,66,15777,481DutNW,Hwy 481 & Dutch Ridge,,43.413236,-76.46661,
81928,81928,66,15790,481DutSE,Hwy 481 & Dutch Ridge,,43.412843,-76.466113,
84513,84513,66,16806,HamNasWX,Hamilton Rd & Nash Rd,,43.018184,-76.464922,
80724,80724,66,16859,HamNasSE,Hamilton Rd & Nash Rd,,43.01805,-76.46481,
84514,84514,66,16807,HamChaNW,Hamilton Rd & Chatfield Rd,,43.016197,-76.464731,
80725,80725,66,16858,HamChaEX,Hamilton Rd & Chatfield Rd,,43.016063,-76.464619,
80704,80704,66,17454,HamRt5NW,Hamilton Rd & State Rte 5,,43.03207,-76.464386,
81633,81633,66,16365,Rt5HamSW,State Rte 5 & Hamilton Rd,,43.031864,-76.464361,
84291,84291,66,16860,HamRt5SE,Hamilton Rd & State Hwy 5,,43.031846,-76.464225,
80363,80363,66,16405,Rt5HamNE,State Rte 5 & Hamilton Rd,,43.031927,-76.4642,
83579,83579,66,17958,StRt38W1,2586 W Lake Rd,STATE ROUTE 38,42.743346,-76.46176,
83578,83578,66,17959,StRt38E1,2153 W Lake Rd,STATE ROUTE 38,42.743436,-76.461588,
82283,82283,66,15778,481R45NW,Hwy 481 & CR 45,,43.401599,-76.461587,
85283,85283,66,15789,481R45SE,Hwy 481 & CR 45,,43.40135,-76.460978,
84508,84508,66,16808,HamRodNW,Hamilton Rd & Rodak Rd,,43.011298,-76.460596,
80719,80719,66,16857,JorRodSE,Jordan Rd & Rodak Rd,,43.011156,-76.460312,
84509,84509,66,16809,JorHarNW,Jordan Rd & Hartlot St,,43.010476,-76.459705,
80720,80720,66,16856,JorHarSE,Jordan Rd & Hartlot St,,43.010369,-76.459532,
83815,83815,66,9914,HnyWllLM,Honeywell Plant in Jordan,,42.987525,-76.458685,
83131,83131,66,16731,GenCouSW,E Genesee St & County Line Rd,,42.94336,-76.458537,
83626,83626,66,16774,WgeCouNE,W Genesee St & County Line Rd,,42.943414,-76.458353,
81192,81192,66,16810,JorCasNW,Jordan Rd & Case Rd,,43.008393,-76.458182,
80717,80717,66,16855,JorCasEX,Jordan Rd & Case Rd,,43.008312,-76.458046,
83814,83814,66,9915,OldWelLM,Old Welch Allen Plant on Jordan Rd,,42.995028,-76.45787,
81193,81193,66,16813,JorMapNW,Jordan Rd & Maple Dr,,43.000749,-76.457751,
81194,81194,66,16812,JorIriNW,Jordan Rd & Irish Rd,,43.004142,-76.457564,
80723,80723,66,16852,JorMapEX,Jordan Rd & Maple Dr,,43.000516,-76.457553,
80722,80722,66,16853,JorIriEX,Jordan Rd & Irish Rd,,43.004043,-76.457502,
82245,82245,66,18007,OldwelEX,Old Welch Allyn,JORDAN RD & GRANT AVENUE RD,42.995038,-76.457463,
81191,81191,66,16811,JorMasWX,Jordan Rd & Masters Rd,,43.006443,-76.45714,
80718,80718,66,16854,JorMasSE,Jordan Rd & Masters Rd,,43.006318,-76.45709,
82833,82833,66,9741,104SimSW,Route 104 & Simpson Dr,,43.463427,-76.456615,
82818,82818,66,15869,104SimNX,Rte 104 & Simpson Dr,,43.463482,-76.456355,
81195,81195,66,16815,JorSchWX,Jordan Rd & School St,,42.992864,-76.45626,
80721,80721,66,16850,JorSchSE,Jordan Rd & School St,,42.992775,-76.456062,
81632,81632,66,16366,MaiMilSX,Main St & Mill St,,43.033682,-76.452917,
80362,80362,66,16404,MaiMilNE,Main St & Mill St,,43.033718,-76.452843,
83132,83132,66,16732,GenHilSW,W Genesee St & Hillside Dr,,42.943755,-76.452119,
83625,83625,66,16773,WgeHilNX,W Genesee St & Hillside Dr,,42.943818,-76.451971,
81197,81197,66,16816,JorVisNW,Jordan Rd & Visions Dr,,42.98751,-76.451633,
84064,84064,66,16849,JorVisEX,Jordan Rd & Visions Dr,,42.987385,-76.451447,
81631,81631,66,16367,MaiValSX,Main St & Valley Dr,,43.034062,-76.450438,
80365,80365,66,16403,MaiValNE,Main St & Valley Dr,,43.034098,-76.450377,
81196,81196,66,16817,JorBriWX,Jordan Rd & Britcher Rd,,42.98395,-76.449378,
84063,84063,66,16848,JorBriSE,Jordan Rd & Britcher Rd,,42.983852,-76.449267,
83729,83729,66,7913,MaiJorSW,Main St & Jordan Rd,,43.034405,-76.448477,
81189,81189,66,16818,JorRrdWX,Jordan Rd & Railroad St,,42.981437,-76.448126,
84058,84058,66,16847,JorRrdEX,Jordan Rd & Railroad St,,42.98141,-76.448039,
83733,83733,66,7914,MaiJorNE,Main St & Jordan Rd,,43.034603,-76.447627,
