objectid,ntm_stop_i,ntm_feed_i,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
83075,83075,66,14582,SyrStaEX,Syracuse Stage on Irving Ave,,43.04680600000,-76.13765600000
81666,81666,66,2151,EgeIrvNE,E.Genesee St & Irving Ave,,43.04699400000,-76.13760700000
79545,79545,66,5986,EcoMraSW,E.Colvin St & Moore Ave,,43.02634000000,-76.13739300000
82000,82000,66,11683,EriCroSW,Erie Blvd. & N. Crouse Ave.,,43.05072700000,-76.13730400000
80070,80070,66,9388,EmyWriNE,E Molloy Rd & Wright Ave,,43.09821200000,-76.13721600000
85502,85502,66,14901,ParWtwNE,Park St & Whitwell Dr,,43.06325100000,-76.13714900000
82071,82071,66,11302,LodGerSW,Lodi St & Gertrude St,,43.05454000000,-76.13712600000
85674,85674,66,4911,EseMywNE,E.Seneca Tpke & Maywood Dr,E SENECA TPKE & MAYWOOD DR,43.00133700000,-76.13705000000
79546,79546,66,5985,EcoMraNE,E.Colvin St & Moore Ave,,43.02634900000,-76.13701000000
85408,85408,66,17848,ThuBriSE,Thurber St & E Brighton Ave,,43.01785300000,-76.13695000000
82172,82172,66,9231,CttTlbSX,Chestnut St & Tolbert Dr,,43.13604900000,-76.13694600000
80018,80018,66,6754,HarScrNW,Harrison St & S.Crouse Ave,,43.04425400000,-76.13692000000
85021,85021,66,9377,MatBreSW,Malden Rd & Breman Ave,,43.10462300000,-76.13688500000
80640,80640,66,11196,LodGerNE,Lodi St & Gertrude St,,43.05446800000,-76.13687900000
80745,80745,66,10102,WavCroSW,Waverly Ave & S Crouse Ave,,43.04053800000,-76.13681500000
84832,84832,66,1237,GrdOakSW,Grant Blvd & Oak St,,43.07234700000,-76.13678900000
80046,80046,66,9567,MadCroSW,Madison St & S Crouse Ave,,43.04536400000,-76.13678200000
84779,84779,66,9356,EmyMefSW,E Molloy Rd & Medford Rd,,43.09816700000,-76.13674700000
84370,84370,66,346,EfaScrSW,E.Fayette St & S.Crouse Ave,,43.04847900000,-76.13674000000
82114,82114,66,13212,HunDarSW,Huntley St & Darlington Rd,,43.07788900000,-76.13671800000
79901,79901,66,10371,MaiPleNW,S Main St & Pleasant Ave,,43.12685400000,-76.13668900000
81667,81667,66,2153,EgeScuSW,E.Genesee St & S.Crouse Ave,,43.04685900000,-76.13668100000
80744,80744,66,10103,ScrUniNW,S Crouse Ave & University Place,,43.03952600000,-76.13664400000
